"Age","StndL","Weight","Blubber.mass","BlubPercent","D1cm","L1cm","V1cm","D2cm","L2cm","V2cm","D3cm","L3cm","V3cm","D4cm","L4cm","V4cm","D5cm","L5cm","V5cm"
0.08,0.92,14,4.63,0.331,1.59,1.75,1.76,2,2.2,1.9,2,2.1,2.4,1.7,2.1,1.7,2.12,1.98,2.08
0.08,0.94,22,5.39,0.245,1.43,1.59,2.69,1.8,2,2.9,1.9,1.9,2,1.8,2,1.7,2.24,1.89,2.08
0.09,0.95,17.4,5.43,0.312,1.83,1.59,2.13,2.3,2,2.3,2,2,1.9,2.3,2.1,2.1,2.86,1.98,2.56
0.1,0.97,18,7.14,0.397,1.83,1.9,2.69,2.3,2.4,2.9,3,2.5,2.3,3,2.6,2.5,3.74,2.46,3.05
0.1,0.945,13.6,6.37,0.468,2.3,2.06,2.41,2.9,2.6,2.6,2.3,3,2.2,4,3,2.6,4.98,2.83,3.17
0.11,1.06,22.5,10.5,0.467,2.38,2.38,2.69,3,3,2.9,3.2,3.5,3.2,3.8,3,3.3,4.73,2.83,4.03
0.12,0.975,18,5.64,0.313,1.83,1.59,1.67,2.3,2,1.8,2.4,1.9,2,2.1,2,1.9,2.62,1.89,2.32
0.12,0.885,13,4.96,0.382,1.59,1.59,1.85,2,2,2,2.4,2.2,2,2.2,2,2.1,2.74,1.89,2.56
0.12,0.975,15.2,4.55,0.299,1.19,1.43,1.58,1.5,1.8,1.7,1.8,1.9,2.5,1.5,1.8,1.3,1.87,1.7,1.59
0.13,1.1,26,9.73,0.374,1.9,1.98,2.22,2.4,2.5,2.4,3.1,2.7,2.8,2.8,2.9,2.7,3.49,2.74,3.3
0.14,0.93,16.2,5.94,0.367,1.9,1.9,1.85,2.4,2.4,2,2.4,2.2,2.5,2.3,2.2,2.4,2.86,2.08,2.93
0.14,0.895,11.2,2.05,0.183,1.03,1.11,1.39,1.3,1.4,1.5,1.2,1.2,1.2,1,1,1.2,1.25,0.94,1.47
0.15,0.87,13.2,4.31,0.327,0.95,1.43,1.67,1.2,1.8,1.8,2.1,2,2.2,2.2,2,2.2,2.74,1.89,2.69
0.15,0.95,17.6,5.12,0.291,1.35,1.67,2.32,1.7,2.1,2.5,1.7,2,2.1,2,2.2,1.6,2.49,2.08,1.95
0.17,1.015,18.2,7.2,0.396,1.83,1.9,2.78,2.3,2.4,3,2.4,2.4,2.7,2.2,2.6,2.9,2.74,2.46,3.54
0.17,1.04,21.4,7.27,0.34,1.75,1.67,2.78,2.2,2.1,3,2.1,2.2,2.8,2.5,2.5,2,3.11,2.36,2.44
0.17,1.04,20.6,7.61,0.369,1.98,1.59,2.13,2.5,2,2.3,3,2.5,2.4,3.5,2.3,2.3,4.36,2.17,2.81
0.18,0.955,18.4,6.43,0.349,1.75,1.67,1.95,2.2,2.1,2.1,2.6,2.3,2.1,2.2,2.6,2.5,2.74,2.46,3.05
0.18,1.01,17.2,5.49,0.319,1.9,1.59,1.76,2.4,2,1.9,2.5,1.8,2.1,2.4,2.1,1.4,2.99,1.98,1.71
0.19,1.14,20.4,7.42,0.364,1.59,1.59,2.32,2,2,2.5,1.9,2.1,2.9,2.6,1.8,2.2,3.24,1.7,2.69
0.19,0.97,18.6,6.55,0.352,1.59,1.83,2.32,2,2.3,2.5,2.4,2.4,2.4,2.2,2.3,2.2,2.74,2.17,2.69
0.19,1.01,19.4,9.4,0.485,1.98,2.06,2.69,2.5,2.6,2.9,3.8,3,2.8,3.2,3.5,3,3.99,3.31,3.66
0.19,1.024,17,6.35,0.374,1.67,1.75,2.5,2.1,2.2,2.7,2.5,2.3,2.4,2.2,2.5,2.4,2.74,2.36,2.93
0.19,1,18.2,7.68,0.422,1.9,2.06,2.59,2.4,2.6,2.8,2.5,2.8,3.2,2.4,2.4,3,2.99,2.27,3.66
0.2,1.21,25,9.77,0.391,1.75,1.75,2.59,2.2,2.2,2.8,2.8,1.95,2.4,2.6,2.2,2.15,3.24,2.08,2.63
0.21,1.06,19.4,3.44,0.177,0.95,1.11,1.2,1.2,1.4,1.3,1.3,1.4,1.4,1.4,1.3,1.2,1.74,1.23,1.47
0.21,1.015,21.6,8.32,0.385,2.22,2.06,2.78,2.8,2.6,3,3,2.5,2.6,3,2.7,2.6,3.74,2.55,3.17
0.22,0.93,14.4,4.46,0.31,1.59,1.43,1.85,2,1.8,2,2.3,1.8,1.8,2,2,1.7,2.49,1.89,2.08
0.22,1,20,6.69,0.334,1.75,1.67,2.04,2.2,2.1,2.2,2.9,2.2,2.3,2.9,2.1,2.3,3.61,1.98,2.81
0.22,0.935,16,6.34,0.396,2.14,1.51,2.5,2.7,1.9,2.7,2.8,2.6,2.4,2.5,2.5,2.3,3.11,2.36,2.81
