"Age","StndL","Weight","Blubber.mass","BlubPercent","D1cm","L1cm","V1cm","D2cm","L2cm","V2cm","D3cm","L3cm","V3cm","D4cm","L4cm","V4cm","D5cm","L5cm","V5cm"
7.96,1.5,43.15,11.65,0.27,1.67,1.67,1.95,2.1,2.1,2.1,2.4,2.3,2.1,2.2,1.8,2.1,2.74,1.7,2.56
13.93,1.5,59.6,17.86,0.3,2.94,1.83,2.69,3.7,2.3,2.9,3,2.3,2.5,2.7,2,1.8,3.36,1.89,2.2
16.93,1.5,39.2,9.86,0.252,1.43,1.9,1.76,1.8,2.4,1.9,1.7,1.8,2.7,2.4,1.6,2,2.99,1.51,2.44
7.05,1.53,40,9.49,0.237,1.19,1.35,1.85,1.5,1.7,2,1.6,1.8,2,1.5,1.6,1.6,1.87,1.51,1.95
8.06,1.53,58.4,10.98,0.188,1.59,1.35,1.95,2,1.7,2.1,1.6,1.6,1.9,1.4,1.6,1.9,1.74,1.51,2.32
9.01,1.53,64.2,15.93,0.248,1.75,1.75,2.22,2.2,2.2,2.4,2.4,2.3,2.1,2.5,2.3,1.4,3.11,2.17,1.71
20.04,1.53,65,15.43,0.237,1.43,1.75,2.59,1.8,2.2,2.8,2.7,1.7,1.8,4.5,1.5,2,5.6,1.42,2.44
8.24,1.51,56.5,10.32,0.183,1.03,1.35,1.67,1.3,1.7,1.8,2,1.4,1.9,1.5,1.7,1.8,1.87,1.61,2.2
15.22,1.65,62,11.14,0.18,1.27,1.11,1.3,1.6,1.4,1.4,1.8,1.5,1.8,1.8,1.5,1.6,2.24,1.42,1.95
9.34,1.43,51,10.75,0.211,1.59,1.43,1.76,2,1.8,1.9,2.1,2,2,1.9,1.7,1.9,2.37,1.61,2.32
9.39,1.45,66,23.27,0.353,2.22,2.38,3.15,2.8,3,3.4,3.4,3.3,3.1,4.2,2.8,3.9,5.23,2.64,4.76
