"Salinity (g kg-1)","-5","-4","-3","-2","-1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35"
10,1007.58688708901,1007.69858195453,1007.79109062621,1007.86505900614,1007.92110506051,1007.95981960355,1007.98176708135,1007.98748635587,1007.97749148887,1007.95227252593,1007.91229628055,1007.85800711814,1007.78982774022,1007.70815996845,1007.61338552885,1007.50586683594,1007.3859477769,1007.25395449579,1007.11019617777,1006.95496583328,1006.78854108232,1006.61118493867,1006.42314659416,1006.22466220289,1006.01595566557,1005.79723941371,1005.56871519401,1005.33057485253,1005.08300111908,1004.82616839148,1004.56024351987,1004.285386591,1004.00175171258,1003.70948779758,1003.40873934852,1003.09964724184,1002.78234951222,1002.45698213686,1002.12367981986,1001.78257677655,1001.43380751781
11,1008.41347029926,1008.52090480404,1008.60931072484,1008.67932856451,1008.73157101926,1008.76662376249,1008.7850462287,1008.78737239745,1008.77411157733,1008.74574919,1008.70274755423,1008.64554667001,1008.57456500262,1008.49020026679,1008.39283021084,1008.28281340083,1008.16049000478,1008.02618257685,1007.88019684155,1007.72282247796,1007.554333904,1007.37499106062,1007.18504019611,1006.98471465033,1006.774235639,1006.55381303797,1006.3236461675,1006.08392457655,1005.83482882709,1005.57653127839,1005.30919687133,1005.03298391271,1004.74804485955,1004.45452710342,1004.15257375477,1003.84232442724,1003.52391602197,1003.19748351198,1002.86316072643,1002.52108113502,1002.17137863229
12,1009.23959960869,1009.34280025613,1009.42712918105,1009.4932214871,1009.54168460044,1009.57309905364,1009.58801926958,1009.5869743454,1009.57046883651,1009.53898354061,1009.49297628178,1009.43288269453,1009.35911700791,1009.2720728297,1009.1721239305,1009.05962502794,1008.93491257085,1008.79830552346,1008.65010614966,1008.49060079715,1008.32006068174,1008.13874267158,1007.94689007142,1007.74473340685,1007.53249120862,1007.31037079688,1007.07856906548,1006.83727326626,1006.58666179336,1006.32690496749,1006.05816582028,1005.78060087855,1005.49436094864,1005.19959190075,1004.89643545322,1004.58502995688,1004.26551117938,1003.9380130895,1003.60266864149,1003.25961055943,1002.90897212151
13,1010.0653355936,1010.16432775658,1010.24460434206,1010.30679505445,1010.35150204986,1010.37930072,1010.39074047609,1010.38634553286,1010.36661569251,1010.33202712879,1010.28303317104,1010.22006508829,1010.14353287337,1010.05382602708,1009.95131434229,1009.83634868819,1009.70926179442,1009.57036903529,1009.41996921403,1009.25834534697,1009.08576544782,1008.9024833119,1008.70873930042,1008.50476112472,1008.29076463054,1008.06695458235,1007.83352544758,1007.59066218095,1007.33854100875,1007.07733021316,1006.80719091653,1006.52827786572,1006.24074021638,1005.94472231733,1005.6403644948,1005.32780383682,1005.00717497753,1004.67861088148,1004.34224362802,1003.99820519558,1003.64662824603
14,1010.89073167911,1010.98553973344,1011.06178766702,1011.12009978499,1011.16107297336,1011.18527748297,1011.19325771338,1011.18553299688,1011.16259838244,1011.12492541984,1011.07296294368,1011.0071378575,1010.92785591789,1010.83550251865,1010.73044347495,1010.6130258075,1010.48357852675,1010.34241341708,1010.18982582105,1010.02609542363,1009.85148703642,1009.6662513819,1009.47062587774,1009.264835421,1009.04909317245,1008.82360134085,1008.58855196722,1008.34412770915,1008.09050262509,1007.82784295865,1007.55630792294,1007.27605048482,1006.98721814929,1006.68995374375,1006.38439620235,1006.0706813503,1005.74894268823,1005.41931217648,1005.08192101946,1004.73690044998,1004.38438251357
15,1011.71583544495,1011.8064828785,1011.87872498485,1011.9331806698,1011.9704415493,1011.99107273327,1011.99561360959,1011.98457862807,1011.95845808449,1011.91771890461,1011.86280542829,1011.79414019355,1011.71212472074,1011.61714029668,1011.50954875878,1011.38969327929,1011.25789914946,1011.11447456373,1010.95971140401,1010.79388602387,1010.61726003279,1010.43008108044,1010.23258364092,1010.02498979702,1009.80751002453,1009.58034397649,1009.34368126752,1009.09770225806,1008.84257883873,1008.57847521459,1008.30554868946,1008.02395045024,1007.73382635125,1007.43531769848,1007.12856203398,1006.81369392018,1006.49084572416,1006.16014840207,1005.82173228337,1005.47572785525,1005.12226654691
16,1012.5406896199,1012.62719912312,1012.69545745197,1012.74607811295,1012.77964745187,1012.79672543772,1012.7978464467,1012.78352004615,1012.75423177857,1012.71044394575,1012.65259639275,1012.58110729211,1012.49637392791,1012.39877347994,1012.28866380791,1012.16638423557,1012.03225633494,1011.88658471056,1011.72965778364,1011.56174857636,1011.38311549611,1011.19400311969,1010.99464297765,1010.78525433852,1010.56604499308,1010.33721203868,1010.0989426635,1009.85141493087,1009.59479856353,1009.329255728,1009.05494181884,1008.77200624296,1008.48059320399,1008.18084248654,1007.87289024055,1007.55686976563,1007.23291229537,1006.90114778166,1006.56170567908,1006.21471572915,1005.86030874475
17,1013.36533285424,1013.44772639626,1013.51202229644,1013.55882866191,1013.58872656834,1013.60227084379,1013.59999085273,1013.58239128,1013.54995291487,1013.50313343507,1013.44236819093,1013.36807098943,1013.2806348784,1013.18043293061,1013.06781902801,1012.94312864587,1012.80667963701,1012.65877301599,1012.49969374338,1012.32971150994,1012.14908152093,1011.95804528034,1011.75683137513,1011.54565625957,1011.32472503943,1011.09423225635,1010.85436267209,1010.60529205284,1010.34718795351,1010.08021050203,1009.8045131837,1009.52024362546,1009.22754438024,1008.92655371125,1008.61740637635,1008.30023441232,1007.97516791923,1007.64233584476,1007.30186676855,1006.9538896865,1006.59853479514
18,1014.18980033023,1014.26809922362,1014.32845340589,1014.37146558482,1014.39771156589,1014.40774103622,1014.40207834853,1014.38122330517,1014.34565194212,1014.2958173131,1014.23215027363,1014.15506026516,1014.06493609924,1013.96214674163,1013.84704209651,1013.71995379066,1013.58119595767,1013.43106602215,1013.26984548399,1013.09780070256,1012.91518368098,1012.72223285039,1012.51917385419,1012.30622033236,1012.08357470569,1011.85142896009,1011.6099654309,1011.35935758716,1011.09977081593,1010.8313632066,1010.55428633517,1010.26868604861,1009.97470324915,1009.67247467863,1009.36213370276,1009.04381109555,1008.71763582353,1008.38373583017,1008.04223882016,1007.69327304378,1007.33696808122
19,1015.01412425179,1015.08834920811,1015.14478179922,1015.18401933351,1015.20663234627,1015.21316538365,1015.20413778662,1015.180044475,1015.14135673149,1015.08852298575,1015.02196959852,1014.9421016457,1014.84930370254,1014.74394062778,1014.62635834783,1014.49688464097,1014.35582992156,1014.20348802426,1014.04013698825,1013.86603984151,1013.68144538503,1013.48658897709,1013.28169331754,1013.06696923204,1012.8426164564,1012.60882442082,1012.36577303419,1012.11363346842,1011.85256894272,1011.58273550789,1011.30428283068,1011.01735497807,1010.7220912016,1010.41862672171,1010.107093512,1009.78762108367,1009.46033726973,1009.12536900942,1008.7828431325,1008.43288714362,1008.07563000663
20,1015.83833424249,1015.90850542045,1015.96103600992,1015.99651791986,1016.01551641535,1016.01857090156,1016.00619570768,1015.978880871,1015.93709292092,1015.88127566304,1015.81185096328,1015.72921953201,1015.63376170816,1015.52583824344,1015.40579108648,1015.27394416706,1015.13060418029,1014.97606137088,1014.81059031732,1014.63445071616,1014.44788816627,1014.25113495306,1014.04441083282,1013.82792381692,1013.60187095616,1013.36643912501,1013.12180580594,1012.86813987372,1012.60560237968,1012.33434733608,1012.05452250039,1011.76627015959,1011.46972791453,1011.16502946425,1010.85230539025,1010.5316839409,1010.20329181571,1009.86725494968,1009.52369929764,1009.17275161861,1008.81454026009
21,1016.66245767281,1016.72859472036,1016.77724240133,1016.80898722526,1016.82438918701,1016.82398255073,1016.80827663384,1016.77775659105,1016.73288419847,1016.67409863762,1016.60181727961,1016.51643646923,1016.41833230912,1016.30786144393,1016.18536184452,1016.05115359215,1015.90553966268,1015.74880671085,1015.58122585447,1015.40305345865,1015.21453192013,1015.01589045147,1014.80734586536,1014.5891033589,1014.36135729786,1014.12429200101,1013.87808252438,1013.62289544557,1013.35888964807,1013.08621710557,1012.80502366625,1012.51544983712,1012.21763156833,1011.91170103751,1011.59778743406,1011.27601774352,1010.94651753188,1010.60941172993,1010.26482541756,1009.91288460814,1009.55371703284
22,1017.48651993216,1017.5486420234,1017.59342542858,1017.6214512578,1017.63327423565,1017.62942348526,1017.61040331225,1017.57669398878,1017.5287525376,1017.46701351619,1017.39188980081,1017.30377337067,1017.2030360921,1017.09003050269,1016.96509059552,1016.82853260331,1016.6806557827,1016.52174319844,1016.35206250762,1016.17186674395,1015.98139510202,1015.78087372153,1015.57051647158,1015.35052573498,1015.12109319249,1014.88240060714,1014.63462060854,1014.37791747713,1014.11244792854,1013.83836189789,1013.55580332408,1013.26491093413,1012.96581902749,1012.65865826039,1012.34355643012,1012.0206392594,1011.6900311807,1011.35185612057,1011.00623828399,1010.65330293867,1010.29317719946
23,1018.3105446569,1018.36867052483,1018.4096078583,1018.43393236788,1018.44219350795,1018.43491526055,1018.41259691951,1018.3757138744,1018.32471839465,1018.26004041362,1018.18208831275,1018.09124970565,1017.98789222234,1017.87236429335,1017.74499593394,1017.60609952832,1017.45597061388,1017.29488866537,1017.12311787919,1016.94090795762,1016.74849489309,1016.54610175244,1016.33393946119,1016.11220758784,1015.88109512814,1015.6407812894,1015.39143627476,1015.13322206754,1014.8662932155,1014.59079761518,1014.30687729619,1014.01466920558,1013.71430599209,1013.40591679053,1013.0896280061,1012.7655640987,1012.43384836726,1012.09460373412,1011.7479535293,1011.3940222749,1011.0329364694
24,1019.13455392327,1019.18870188894,1019.22581095439,1019.24645143073,1019.25116750202,1019.24047800928,1019.21487723447,1019.17483568459,1019.12080087572,1019.05319811711,1018.97243129535,1018.87888365847,1018.77291860014,1018.65488044381,1018.52509522696,1018.38387148527,1018.23150103684,1018.06825976645,1017.89440840979,1017.71019333771,1017.51584734047,1017.31159041206,1017.0976305344,1016.87416446168,1016.64137850465,1016.39944931488,1016.14854466907,1015.88882425338,1015.6204404477,1015.34353910999,1015.05826036061,1014.76473936657,1014.46310712594,1014.15349125213,1013.8360167582,1013.51080684124,1013.17798366667,1012.83766915258,1012.48998575406,1012.13505724758,1011.77300951526
25,1019.95856841189,1020.00875641038,1020.0420546365,1020.05902800182,1020.06021542012,1020.04613059133,1020.01726278558,1019.97407762725,1019.91701787906,1019.84650422616,1019.76293606027,1019.66669226382,1019.55813199412,1019.43759546757,1019.30540474383,1019.16186451003,1019.00726286502,1018.84187210358,1018.66594950067,1018.47973809571,1018.28346747682,1018.07735456509,1017.86160439887,1017.63641091804,1017.40195774831,1017.15841898553,1016.90595997996,1016.64473812059,1016.37490361945,1016.09660029592,1015.80996636107,1015.51513520193,1015.21223616585,1014.90139534484,1014.58273635985,1014.25638114515,1013.92245073262,1013.58106603612,1013.23234863582,1012.87642156253,1012.51341008204
26,1020.78260754888,1020.82885315276,1020.85835761591,1020.8716804504,1020.86935529966,1020.85189072255,1020.81977097733,1020.77345680577,1020.71338621722,1020.63997527268,1020.55361886902,1020.45469152305,1020.34354815575,1020.22052487642,1020.0859397669,1019.94009366577,1019.78327095262,1019.61574033222,1019.43775561882,1019.2495565204,1019.0513694229,1018.84340817455,1018.6258748701,1018.39896063511,1018.16284641029,1017.91770373573,1017.66369553525,1017.40097690068,1017.12969587618,1016.84999424256,1016.56200830158,1016.26586966029,1015.96170601534,1015.64964193732,1015.32979965507,1015.00229984003,1014.66726239055,1014.32480721628,1013.97505502243,1013.61812809418,1013.25415108098
27,1021.60668962778,1021.64901006822,1021.67473751305,1021.68442607477,1021.67860412649,1021.65777508595,1021.62241819955,1021.57298932642,1021.50992172253,1021.43362682475,1021.34449503506,1021.24289650467,1021.12918191817,1021.00368327779,1020.86671468754,1020.71857313745,1020.55953928783,1020.38987825344,1020.20984038782,1020.01966206749,1019.81956647624,1019.60976438941,1019.39045495814,1019.16182649369,1018.92405725174,1018.67731621664,1018.42176388576,1018.15755305377,1017.88482959695,1017.60373325754,1017.314398428,1017.01695493539,1016.71152882565,1016.39824314796,1016.07721873905,1015.74857500752,1015.41243071821,1015.06890477652,1014.71811701274,1014.36018896639,1013.99524467058
28,1022.43083191555,1022.46924410149,1022.4912109595,1022.49728120248,1022.48797793321,1022.46379942831,1022.42521992228,1022.37269039162,1022.30663933888,1022.22747357682,1022.13557901251,1022.03132143152,1021.91504728211,1021.78708445938,1021.64774308952,1021.49731631401,1021.33608107386,1021.16429889383,1020.98221666673,1020.79006743763,1020.58807118815,1020.37643562074,1020.15535694294,1019.92502065171,1019.68560231768,1019.43726836947,1019.18017687798,1018.91447834073,1018.64031646613,1018.35782895782,1018.06714829898,1017.76840253667,1017.46171606613,1017.14721041512,1016.82500502824,1016.49521805128,1016.15796711556,1015.81337012222,1015.46154602662,1015.10261562264,1014.73670232705
