"waterTemperature","swimSpeed","mass","storageLevel","meanThermo","sdThermo"
-5,0,50,0.0525,-56072.2680607232,27721.5175980947
-5,0,50,0.055,-69374.6479919817,32440.7650384862
-5,0,50,0.06,-98846.6816866936,31445.5552961411
-5,0,50,0.08,-167641.809377241,19724.3024787409
-5,0,50,0.12,-236224.044117814,13379.967733533
-5,0,50,0.2,-293490.926017818,8851.44738818968
-5,0,50,0.36,-330147.843663989,4874.23667972533
-5,0,50,0.68,-353233.45182987,2344.78838346904
-5,0,60,0.05,-87989.661889024,39658.2189689987
-5,0,60,0.0525,-102581.483098146,35056.4223376519
-5,0,60,0.055,-121539.647279158,33327.8178550365
-5,0,60,0.06,-147462.347494377,28669.8660415666
-5,0,60,0.08,-219071.98838122,21743.1416549723
-5,0,60,0.12,-289000.08728938,14325.5153104435
-5,0,60,0.2,-345787.051658405,8274.634654916
-5,0,60,0.36,-384132.286860811,4523.6466763721
-5,0,60,0.68,-407345.446535438,2632.31996658286
-5,0,70,0.05,-136132.100280847,35752.2373171972
-5,0,70,0.0525,-149417.683495086,34253.2933743422
-5,0,70,0.055,-166562.869661971,30775.9313334667
-5,0,70,0.06,-195705.798093974,34481.7049410998
-5,0,70,0.08,-266376.370814528,20979.2325041209
-5,0,70,0.12,-338561.099720631,13222.9796845592
-5,0,70,0.2,-396360.3889613,7837.00495560247
-5,0,70,0.36,-436885.588248828,4747.10484884815
-5,0,70,0.68,-459762.373275737,2740.23271871562
-5,0,80,0.05,-179333.693344653,31798.9831626273
-5,0,80,0.0525,-192339.445730579,30487.0063711885
-5,0,80,0.055,-209685.524554323,28144.8543315333
-5,0,80,0.06,-235619.493159004,28513.4536154987
-5,0,80,0.08,-315525.033327027,23157.0886942696
-5,0,80,0.12,-388752.51738851,14200.0539308502
-5,0,80,0.2,-447263.365507466,8123.20697559271
-5,0,80,0.36,-485945.269459732,5845.11448968517
-5,0,80,0.68,-510046.164346684,2709.71548586808
-5,0,90,0.05,-222129.544520678,37909.0501365695
-5,0,90,0.0525,-236904.979129217,32582.1788970426
-5,0,90,0.055,-247733.253749684,33706.3096926028
-5,0,90,0.06,-287092.245714509,29819.1168813677
-5,0,90,0.08,-354609.661951764,22426.2591705203
-5,0,90,0.12,-434293.727001635,14179.2290351483
-5,0,90,0.2,-494161.53483195,9721.35218164539
-5,0,90,0.36,-534698.742418912,5029.9991384509
-5,0,90,0.68,-559362.263769118,2714.87829326459
-5,0.47,10,0.05,889916.75173626,103260.467660014
-5,0.47,10,0.0525,842427.058460816,92752.8472565032
-5,0.47,10,0.055,807775.131376703,84944.1394619872
-5,0.47,10,0.06,735451.375690591,82950.8115552872
-5,0.47,10,0.08,534593.908410256,62360.4555384023
-5,0.47,10,0.12,321612.087909028,44406.791073605
-5,0.47,10,0.2,148518.96487448,21824.1532742607
-5,0.47,10,0.36,33384.747438309,13227.7123703118
-5,0.47,10,0.68,-38424.5362589246,7756.75362199568
-5,0.47,20,0.05,933762.023143867,124705.227298278
-5,0.47,20,0.0525,882471.884275609,100011.681485746
-5,0.47,20,0.055,845588.992071779,102183.529704719
-5,0.47,20,0.06,765701.800163166,100208.251601427
-5,0.47,20,0.08,518301.509598085,79728.5641567846
-5,0.47,20,0.12,296724.34802669,49770.0368907075
-5,0.47,20,0.2,99052.1170134149,26670.3437682945
-5,0.47,20,0.36,-31672.252082315,17349.0828498416
-5,0.47,20,0.68,-106450.726804466,7621.88360347319
-5,0.47,30,0.05,954296.707285336,111110.611108064
-5,0.47,30,0.0525,900067.747508148,111023.664879099
-5,0.47,30,0.055,857253.103798571,110025.193961476
-5,0.47,30,0.06,754835.263722065,114592.953711296
-5,0.47,30,0.08,512553.210328742,86029.2702800001
-5,0.47,30,0.12,243900.564296132,50716.7745063651
-5,0.47,30,0.2,44496.1352385788,29335.1971904127
-5,0.47,30,0.36,-86980.7426004538,16651.5760037989
-5,0.47,30,0.68,-167609.862778599,8423.9475308301
-5,0.47,40,0.05,960828.428954261,117879.752628952
-5,0.47,40,0.0525,895706.451755022,121531.582164346
-5,0.47,40,0.055,830940.43630583,111431.318600987
-5,0.47,40,0.06,748767.681346965,123140.699306606
-5,0.47,40,0.08,490476.061496173,83574.8853955188
-5,0.47,40,0.12,210458.931277992,56949.5782295065
-5,0.47,40,0.2,-3731.43892993028,32779.7672397548
-5,0.47,40,0.36,-140954.751555407,17975.1290496649
-5,0.47,40,0.68,-225694.965337804,9097.48515155262
-5,0.47,50,0.05,946001.109509778,149745.960828076
-5,0.47,50,0.0525,886941.237639567,107960.613631431
-5,0.47,50,0.055,817651.681288813,123043.055106721
-5,0.47,50,0.06,731739.411759506,110001.930527749
-5,0.47,50,0.08,445761.943338863,87762.4307837482
-5,0.47,50,0.12,171824.823507372,57460.362218865
-5,0.47,50,0.2,-43300.0695783344,36514.5280468372
-5,0.47,50,0.36,-192145.238526831,19198.5329401253
-5,0.47,50,0.68,-281706.69075697,9959.49497993418
-5,0.47,60,0.05,911987.87558712,141335.577178552
-5,0.47,60,0.0525,869034.562463619,112534.504970423
-5,0.47,60,0.055,804807.164978082,101155.872650379
-5,0.47,60,0.06,685306.20849117,107752.339612
-5,0.47,60,0.08,406623.442918967,90552.9702829485
-5,0.47,60,0.12,131046.349349808,57776.5072306864
-5,0.47,60,0.2,-92697.5585518276,34347.5843198845
-5,0.47,60,0.36,-248174.096218381,18521.5419508507
-5,0.47,60,0.68,-335038.456541339,10239.211309127
-5,0.47,70,0.05,883337.767623598,139292.923103127
-5,0.47,70,0.0525,826289.776606298,120598.428013518
-5,0.47,70,0.055,757650.54927955,116490.220436947
-5,0.47,70,0.06,671017.496363397,114334.380634017
-5,0.47,70,0.08,381905.714457813,82365.159194061
-5,0.47,70,0.12,100961.094463885,57471.5186627604
-5,0.47,70,0.2,-142044.497861034,33675.2966849834
-5,0.47,70,0.36,-294391.01146306,17950.4176691454
-5,0.47,70,0.68,-385810.271459007,10169.8659837582
-5,0.47,80,0.05,851836.327121812,138984.744009128
-5,0.47,80,0.0525,805500.28653219,122669.659613452
-5,0.47,80,0.055,702779.096343048,120280.267666829
-5,0.47,80,0.06,635366.25129903,118335.501311487
-5,0.47,80,0.08,340857.644592204,88795.032683291
