"Salinity (g kg-1)","-5","-4","-3","-2","-1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35"
10,0.00218634831241026,0.00210416252419963,0.00202685774252077,0.00195403916745402,0.00188535240299787,0.00182047847113416,0.00175912954309382,0.00170104527052442,0.00164598962066523,0.00159374813674523,0.00154412555857211,0.00149694374939042,0.00145203988410822,0.0014092648613504,0.00136848190782691,0.00132956534846694,0.00129239951987121,0.00125687780803671,0.00122290179414203,0.00119038049454972,0.0011592296831685,0.00112937128599,0.00110073283902629,0.00107324700206956,0.00104685112171117,0.00102148683792215,0.000997099729236375,0.000973638992210753,0.000951057151380423,0.000929309796395177,0.000908355343427304,0.000888154818290622,0.000868671659013564,0.000849871535872544,0.000831722187121208,0.000814193268851347,0.00079725621759625,0.00078088412444063,0.000765051619535862,0.000749734766037619,0.000734910962587283
11,0.00218982494123156,0.00210754750750515,0.00203015562375177,0.00195725415002453,0.0018884883839086,0.00182353907050189,0.00176211813017978,0.00170396498674998,0.00164884340002531,0.00159653872396624,0.00154685552530805,0.00149961550870732,0.00145465570347032,0.00141182687429122,0.00137099212446255,0.00133202566498749,0.0012948117271277,0.0012592435993257,0.0012252227722766,0.0011926581782944,0.00116146551310593,0.00113156662987895,0.00110288899670321,0.00107536520993998,0.00104893255687162,0.00102353262194876,0.00099911093167218,0.000975616633780184,0.000953002206956394,0.000931223197741418,0.000910237981736207,0.000890007546534763,0.00087049529412719,0.000851666860777682,0.000833489952611584,0.000815934195346019,0.000798970996773693,0.000782573420763008,0.00076671607167228,0.000751374988194361,0.000736527545752281
12,0.00219333759425768,0.00211096682302959,0.00203348625441971,0.00196050039935761,0.00189165424086114,0.00182662823981573,0.00176513405913806,0.0017069108888322,0.00165172227588614,0.00159935338009461,0.00154960859066885,0.00150230944962282,0.00145729283696114,0.001414409380065,0.00137352205571232,0.00133450495813942,0.00129724221065905,0.00126162700175801,0.0012275607294354,0.00119495223991509,0.00116371714885578,0.0011337772348562,0.00110505989646725,0.00107749766512004,0.00105102776739586,0.00102559173093092,0.00100113502898869,0.000977606759367076,0.000954959353852116,0.000933148314898786,0.000912131976624384,0.000891871287549902,0.000872329612828503,0.000853472553963983,0.000835267784251865,0.00081768489837629,0.00080069527477112,0.000784271949507349,0.000768389500603661,0.0007530239417756,0.000738152624743229
13,0.0021968862714886,0.00211442047077296,0.00203684963452459,0.00196377791545325,0.00189484997385548,0.00182974597907569,0.00176817732996866,0.00170988297677108,0.00165462624824771,0.00160219210513035,0.0015523847546545,0.00150502557213692,0.00145995128458068,0.00141701237867175,0.00137607170157624,0.00133700322792273,0.00129969097046526,0.00126402801533365,0.00122991566561841,0.00119726267941181,0.00116598459041806,0.00113600310092174,0.00110724553831841,0.00107964436760975,0.00105313675328391,0.00102766416486863,0.00100317202118589,0.000979609368971428,0.00095692859206759,0.000935085147867284,0.000914037328091835,0.000893746041336039,0.000874174615117504,0.000855288615431447,0.000837055682042052,0.00081944537794216,0.000802429051588531,0.000785979710673653,0.000770071906330003,0.000754681626781337,0.000739786199560125
14,0.00220047097292434,0.00211790845073526,0.00204024576406643,0.00196708669831146,0.00189807558289163,0.00183289228828176,0.00177124794267156,0.00171288125056662,0.00165755531711004,0.00160505489907346,0.001555184017265,0.00150776387624961,0.00146263104632893,0.00141963587011146,0.00137864106205429,0.00133952047433742,0.00130215800654632,0.0012664466400526,0.00123228758082565,0.00119958949678454,0.00116826783779275,0.00113824422807559,0.00110944592225669,0.0010818053174091,0.00105525951453576,0.0010297499237619,0.0010052219082638,0.000981624462593241,0.000958909921602816,0.00093703369664691,0.00091595403613856,0.000895631807893174,0.000876030300994191,0.000857115045180074,0.000838853645982144,0.000821215634043629,0.000804172327225925,0.000787696704261919,0.000771763288851307,0.000756348043211571,0.000741428270202971
15,0.00220409169856489,0.00212143076291649,0.0020436746430452,0.00197042674793223,0.00190133106796958,0.00183606716743394,0.00177434589724677,0.00171590571021882,0.00166050948247311,0.00160794176192394,0.00155800637850035,0.00151052436196089,0.0014653321222059,0.00142227985438414,0.00138123013714648,0.00134205669738349,0.00130464331890223,0.00126888287591487,0.00123467647505711,0.0012019326920333,0.00117056689097986,0.00114050061631774,0.0011116610482821,0.00108398051451811,0.0010573960511514,0.00103184900761071,0.00100728469022241,0.000983652040232515,0.000960903342457793,0.000938993961237664,0.00091788210076456,0.000897528587221307,0.000877896670458565,0.000858951843209865,0.000840661676072142,0.000822995666680698,0.000805925101683302,0.000789422930272149,0.000773463648167573,0.000758023191066303,0.000743078836671767
16,0.00220774844841025,0.00212498740731664,0.00204713627146092,0.00197379806431556,0.00190461642908934,0.00183927061653224,0.0017774711936943,0.00171895635572769,0.00166348874433694,0.00161085269368179,0.00156085183836056,0.00151330702927077,0.00146805451221159,0.00142494433148978,0.00138383892685281,0.00134461189706093,0.001307146907533,0.00127133672292046,0.00123708234831279,0.00120429226515808,0.0011728817499794,0.00114277226564818,0.00111389091639462,0.00108616995893676,0.00105954636313085,0.00103396141641508,0.00100936036706172,0.00098569210188925,0.000962908854632522,0.000940965941639547,0.000919821521969833,0.000899436379320437,0.000879773723510626,0.000860799009520818,0.000842479772312044,0.000824785475853365,0.000807687374960663,0.000791158388704341,0.000775172984278801,0.000759707070345532,0.000744737898966512
17,0.00221144122246043,0.00212857838393572,0.00205063064931358,0.00197720064746146,0.0019079316662509,0.00184250263557665,0.00178062383201414,0.00172203318709321,0.00166649310270152,0.00161378769434701,0.00156372039684561,0.00151611187817924,0.00147079821634599,0.00142762930142839,0.00138646743117327,0.00134718607336976,0.00130966877243863,0.00127380818106937,0.00123950520059269,0.00120666821615887,0.00117521241479135,0.00114505917606693,0.00111613552659427,0.00108837365066506,0.0010617104504741,0.001036087150175,0.00101144893878173,0.000987744647563445,0.000964926458127004,0.000942949637852559,0.000921772299754381,0.000901355184190566,0.000881661460150373,0.000862656544112935,0.000844307934701853,0.000826585061561632,0.000809459147058007,0.000792903079558496,0.00077689129718499,0.000761399681049259,0.000746405457087206
18,0.00221517002071542,0.00213220369277373,0.00205415777660319,0.00198063449736992,0.00191127677945427,0.00184576322456717,0.00178380381220629,0.0017251362043154,0.00166952255756684,0.0016167467639196,0.00156661205395552,0.00151893890868631,0.00147356323460911,0.00143033476419997,0.00138911565010787,0.00134977922630997,0.00131220891361911,0.0012762972503616,0.00124194503189681,0.00120906054503569,0.00117755888541572,0.00114736134757398,0.00111839487888105,0.00109059158970301,0.00106388831318115,0.00103822620889047,0.00101355040538244,0.000989809677255102,0.000966956152941236,0.000944945049876699,0.000923734434118203,0.000903285001831692,0.000883559880377808,0.000864524446986215,0.000846146163241566,0.000828394423805498,0.000811240417975334,0.000794657002834614,0.000778618586886141,0.000763101023177483,0.000748081511033849
19,0.00221893484317522,0.00213586333383066,0.00205771765332974,0.00198409961404094,0.00191465176869945,0.0018490523835038,0.00178701113427075,0.00172826540739425,0.00167257710893292,0.00161972990239955,0.00156952680969028,0.00152178812079197,0.00147634956700094,0.00143306071980451,0.00139178358365661,0.00135239135588156,0.00131476733107444,0.00127880393079714,0.00124440184222516,0.00121146925178853,0.00117992116185252,0.00114967878016933,0.00112066897325494,0.00109282377605061,0.00106607995125201,0.0010403785925615,0.00101566476686385,0.000991887190964219,0.00096899793907522,0.000946952177711967,0.000925707925061299,0.000905225832243817,0.00088546898419293,0.000866402718140658,0.000847994457931184,0.000830213562584963,0.000813031187712646,0.000796420158532695,0.000780354853382255,0.000764811096730205,0.000749766060806442
